Moving to start position: (0.178459898121545, -0.40709970277948, 0.19858511030163645)
Current position: (0.08828570212883678, -0.005247310516750242, 0.18439777163426985), Error: 0.4121m
Current position: (0.0883813848110403, -0.005253483627375561, 0.18426203185366108), Error: 0.4121m
Current position: (0.08799238700453574, -0.005197282475412382, 0.1855245096406994), Error: 0.4122m
Current position: (0.08653314266549132, -0.005376219428556239, 0.18993105325353415), Error: 0.4122m
Current position: (0.0849027953621292, -0.005423233877990735, 0.1942218542414183), Error: 0.4125m
Current position: (0.08257344912424572, -0.0053283429795053456, 0.1995318415786535), Error: 0.4131m
Current position: (0.08058882191715414, -0.0053486318343044055, 0.20354161355677258), Error: 0.4135m
Current position: (0.08032335621668805, -0.00527143126977867, 0.20523612770914362), Error: 0.4137m
Current position: (0.08034448658927275, -0.005640433808274017, 0.20710537571170007), Error: 0.4134m
Current position: (0.08070911866277687, -0.005783135290344344, 0.20754746148421238), Error: 0.4131m
Current position: (0.08101298646945247, -0.006431862861407414, 0.20877173431814777), Error: 0.4125m
Current position: (0.08192877904286383, -0.007143897968368037, 0.20948041669476392), Error: 0.4116m
Current position: (0.0830850992032712, -0.007823607871494564, 0.20947066620893623), Error: 0.4107m
Current position: (0.08407763826596404, -0.008898847230538215, 0.20985448077222796), Error: 0.4094m
Current position: (0.08462511611964997, -0.010158921341714377, 0.21079141248995897), Error: 0.4081m
Current position: (0.08629925120218261, -0.011672464475221477, 0.21036429561293463), Error: 0.4062m
Current position: (0.08807464107389425, -0.013337854532570081, 0.20952959156689477), Error: 0.4042m
Current position: (0.08914968485934482, -0.014757137536226225, 0.20984910282559155), Error: 0.4025m
Current position: (0.09063204652133401, -0.016805479124508957, 0.2092495319828926), Error: 0.4002m
Current position: (0.0924339962235004, -0.018950606129907722, 0.20861537091831633), Error: 0.3977m
Current position: (0.09382319518499115, -0.02379932572907037, 0.2072983176484442), Error: 0.3926m
Current position: (0.09246201435650449, -0.0334190023369479, 0.207074830802857), Error: 0.3835m
Current position: (0.08747457855802142, -0.04988739973095535, 0.2067388967751097), Error: 0.3687m
Current position: (0.08248001459509742, -0.06353111305766514, 0.20495092204134696), Error: 0.3568m
Current position: (0.07838567398978068, -0.07378064398329551, 0.2035122987666249), Error: 0.3481m
Current position: (0.07555108557982604, -0.08266168131722877, 0.20325057375293115), Error: 0.3404m
Current position: (0.07277284097005592, -0.09573366299497649, 0.20756139952283836), Error: 0.3289m
Current position: (0.074552975846507, -0.10631723720897039, 0.2092135875401686), Error: 0.3184m
Current position: (0.08085972971380917, -0.1175328535852687, 0.21803939619386115), Error: 0.3062m
Current position: (0.09064333799039774, -0.12984210380718825, 0.22595707140841625), Error: 0.2921m
Current position: (0.10091019323532166, -0.14320298691592998, 0.23069212346598922), Error: 0.2769m
Current position: (0.11538650625362774, -0.1618165499787944, 0.2333865622605944), Error: 0.2556m
Current position: (0.1259412901912147, -0.17749151689052103, 0.23333261383052245), Error: 0.2381m
Current position: (0.14031670984953531, -0.20286725795326074, 0.22664291667255443), Error: 0.2096m
Current position: (0.1485398004802781, -0.22219083757447677, 0.2222049806615185), Error: 0.1888m
Current position: (0.1555306974195301, -0.2442403197384131, 0.2179423118627868), Error: 0.1656m
Current position: (0.16009444862004457, -0.2649525295204369, 0.21147448425782261), Error: 0.1439m
Current position: (0.16278565073722667, -0.2822942611404036, 0.20850697591621759), Error: 0.1262m
Current position: (0.16563148065682337, -0.29962537439207043, 0.20522838975542596), Error: 0.1084m
Current position: (0.1673632292895031, -0.3174017813307083, 0.2038958906909275), Error: 0.0905m
Current position: (0.1686329859291252, -0.3307128144241728, 0.2031187838992582), Error: 0.0771m
Current position: (0.16932461643916713, -0.33920095198400646, 0.2038579472795442), Error: 0.0687m
Current position: (0.16981341233116526, -0.3490464432522177, 0.2037478597472573), Error: 0.0589m
Current position: (0.1716311750045128, -0.35662708323078796, 0.20497205642160032), Error: 0.0513m
Current position: (0.17299925929029136, -0.36390728702545894, 0.20543473000676787), Error: 0.0441m
Current position: (0.1752525253503065, -0.3689033531175093, 0.20354475054717797), Error: 0.0387m
Current position: (0.1764692556522635, -0.3736278685148302, 0.20297067446051498), Error: 0.0338m
Current position: (0.17778056434634917, -0.37714548831712946, 0.20328268539434663), Error: 0.0303m
Current position: (0.1786242778211115, -0.3812252806628447, 0.20281724073098817), Error: 0.0262m
Start position reached! Error: 0.0262m
